title,year,url
A Single Man,2009,https://letterboxd.com/film/a-single-man/
Drugstore Cowboy,1989,https://letterboxd.com/film/drugstore-cowboy/
To Die For,1995,https://letterboxd.com/film/to-die-for/
Gerry,2002,https://letterboxd.com/film/gerry/
Tokyo Videos of Horror,2012,https://letterboxd.com/film/tokyo-videos-of-horror/
The Pelican Brief,1993,https://letterboxd.com/film/the-pelican-brief/
Eternity,2025,https://letterboxd.com/film/eternity-2025-1/
Green Snake,1993,https://letterboxd.com/film/green-snake/
In the Cut,2003,https://letterboxd.com/film/in-the-cut/
Crimes of Passion,1984,https://letterboxd.com/film/crimes-of-passion/
Cruising,1980,https://letterboxd.com/film/cruising/
The 4th Man,1983,https://letterboxd.com/film/the-4th-man/
Bone,1972,https://letterboxd.com/film/bone/
New Rose Hotel,1998,https://letterboxd.com/film/new-rose-hotel/
The Friends of Eddie Coyle,1973,https://letterboxd.com/film/the-friends-of-eddie-coyle/
Home from the Hill,1960,https://letterboxd.com/film/home-from-the-hill/
Out of the Past,1947,https://letterboxd.com/film/out-of-the-past/
Ponyboi,2024,https://letterboxd.com/film/ponyboi-2024/
Slanted,2025,https://letterboxd.com/film/slanted/
Beyond the Infinite Two Minutes,2020,https://letterboxd.com/film/beyond-the-infinite-two-minutes/
The Chaperones,,https://letterboxd.com/film/the-chaperones/
Disclosure Day,2026,https://letterboxd.com/film/disclosure-day/
The Way of the Wind,,https://letterboxd.com/film/the-way-of-the-wind/
Werwulf,2026,https://letterboxd.com/film/werwulf/
Cry to Heaven,,https://letterboxd.com/film/cry-to-heaven/
Wild Horse Nine,2026,https://letterboxd.com/film/wild-horse-nine/
The Man from Rome,2022,https://letterboxd.com/film/the-man-from-rome/
Body Double,1984,https://letterboxd.com/film/body-double/
The Absence of Milk in the Mouths of the Lost,2023,https://letterboxd.com/film/the-absence-of-milk-in-the-mouths-of-the-lost/
Buzzard,2014,https://letterboxd.com/film/buzzard/
"Nadia, Butterfly",2020,https://letterboxd.com/film/nadia-butterfly/
Caniba,2017,https://letterboxd.com/film/caniba/
The Crimson Kimono,1959,https://letterboxd.com/film/the-crimson-kimono/
Defending Your Life,1991,https://letterboxd.com/film/defending-your-life/
Aniki-Bóbó,1942,https://letterboxd.com/film/aniki-bobo/
Quiz Show,1994,https://letterboxd.com/film/quiz-show/
Reds,1981,https://letterboxd.com/film/reds/
The Family Man,2000,https://letterboxd.com/film/the-family-man/
Digital Video Editing with Adobe Premiere Pro: The Real-World Guide to Set Up and Workflow,2020,https://letterboxd.com/film/digital-video-editing-with-adobe-premiere-pro-the-real-world-guide-to-set-up-and-workflow/
Nobuko,1940,https://letterboxd.com/film/nobuko/
Japanese Girls at the Harbor,1933,https://letterboxd.com/film/japanese-girls-at-the-harbor/
Children in the Wind,1937,https://letterboxd.com/film/children-in-the-wind/
Mr. Thank You,1936,https://letterboxd.com/film/mr-thank-you/
Crazed Fruit,1956,https://letterboxd.com/film/crazed-fruit/
Himiko,1974,https://letterboxd.com/film/himiko/
Pale Flower,1964,https://letterboxd.com/film/pale-flower/
Haru,1996,https://letterboxd.com/film/haru/
Blue Spring,2001,https://letterboxd.com/film/blue-spring/
August in the Water,1995,https://letterboxd.com/film/august-in-the-water/
Kandagawa Pervert Wars,1983,https://letterboxd.com/film/kandagawa-pervert-wars/
Beautiful New Bay Area Project,2013,https://letterboxd.com/film/beautiful-new-bay-area-project/
Kotoko,2011,https://letterboxd.com/film/kotoko/
The Emperor's Naked Army Marches On,1987,https://letterboxd.com/film/the-emperors-naked-army-marches-on/
Sisters of the Gion,1936,https://letterboxd.com/film/sisters-of-the-gion/
Osaka Elegy,1936,https://letterboxd.com/film/osaka-elegy/
The Tatami Galaxy,2010,https://letterboxd.com/film/the-tatami-galaxy/
Mind Game,2004,https://letterboxd.com/film/mind-game/
The Professionals,1966,https://letterboxd.com/film/the-professionals/
Looking for Mr. Goodbar,1977,https://letterboxd.com/film/looking-for-mr-goodbar/
Pocket Money,1972,https://letterboxd.com/film/pocket-money/
The Drowning Pool,1975,https://letterboxd.com/film/the-drowning-pool/
Copycat,1995,https://letterboxd.com/film/copycat/
Terrorizers,1986,https://letterboxd.com/film/terrorizers/
El Sur,1983,https://letterboxd.com/film/el-sur/
Closed Curtain,2013,https://letterboxd.com/film/closed-curtain/
Crimson Gold,2003,https://letterboxd.com/film/crimson-gold/
3 Faces,2018,https://letterboxd.com/film/3-faces/
The Circle,2000,https://letterboxd.com/film/the-circle/
The Mirror,1997,https://letterboxd.com/film/the-mirror/
Offside,2006,https://letterboxd.com/film/offside/
The Message,1976,https://letterboxd.com/film/the-message-1976-1/
Hombre,1967,https://letterboxd.com/film/hombre/
Demons,1971,https://letterboxd.com/film/demons-1971/
Ali: Fear Eats the Soul,1974,https://letterboxd.com/film/ali-fear-eats-the-soul/
Familiar Touch,2024,https://letterboxd.com/film/familiar-touch/
Chainsaw Man – The Movie: Reze Arc,2025,https://letterboxd.com/film/chainsaw-man-the-movie-reze-arc/
Sunfish (& Other Stories on Green Lake),2025,https://letterboxd.com/film/sunfish-other-stories-on-green-lake/
Vulcanizadora,2024,https://letterboxd.com/film/vulcanizadora/
The Shrouds,2024,https://letterboxd.com/film/the-shrouds/
Afternoons of Solitude,2024,https://letterboxd.com/film/afternoons-of-solitude/
Emmet Otter's Jug-Band Christmas,1977,https://letterboxd.com/film/emmet-otters-jug-band-christmas/
Oliver Twist,1948,https://letterboxd.com/film/oliver-twist-1948/
Parthenope,2024,https://letterboxd.com/film/parthenope/
Twinless,2025,https://letterboxd.com/film/twinless/
Misericordia,2024,https://letterboxd.com/film/misericordia-2024/
Only Angels Have Wings,1939,https://letterboxd.com/film/only-angels-have-wings/
Ball of Fire,1941,https://letterboxd.com/film/ball-of-fire/
The Grand Bizarre,2018,https://letterboxd.com/film/the-grand-bizarre-2018/
Falling Down,1993,https://letterboxd.com/film/falling-down/
Babette's Feast,1987,https://letterboxd.com/film/babettes-feast/
My Fair Lady,1964,https://letterboxd.com/film/my-fair-lady/
The Muppets Take Manhattan,1984,https://letterboxd.com/film/the-muppets-take-manhattan/
A Bridge Too Far,1977,https://letterboxd.com/film/a-bridge-too-far/
Catch-22,1970,https://letterboxd.com/film/catch-22/
Bad Timing,1980,https://letterboxd.com/film/bad-timing/
The Right Stuff,1983,https://letterboxd.com/film/the-right-stuff/
A Poet,2025,https://letterboxd.com/film/a-poet/
I Drink Your Blood,1971,https://letterboxd.com/film/i-drink-your-blood/
The Ruling Class,1972,https://letterboxd.com/film/the-ruling-class/
Underground,1995,https://letterboxd.com/film/underground-1995/
I Married a Witch,1942,https://letterboxd.com/film/i-married-a-witch/
Fucktoys,2025,https://letterboxd.com/film/fucktoys/
Gattaca,1997,https://letterboxd.com/film/gattaca/
"Merry Christmas, Mr. Lawrence",1983,https://letterboxd.com/film/merry-christmas-mr-lawrence/
Death by Hanging,1968,https://letterboxd.com/film/death-by-hanging/
Legends of the Fall,1994,https://letterboxd.com/film/legends-of-the-fall/
The Day of the Dolphin,1973,https://letterboxd.com/film/the-day-of-the-dolphin/
Smokey and the Bandit,1977,https://letterboxd.com/film/smokey-and-the-bandit/
The White Diamond,2004,https://letterboxd.com/film/the-white-diamond/
The Wild Blue Yonder,2005,https://letterboxd.com/film/the-wild-blue-yonder/
Saint☆Young Men,2013,https://letterboxd.com/film/saintyoung-men/
Memories,1995,https://letterboxd.com/film/memories/
Cat Soup,2001,https://letterboxd.com/film/cat-soup/
Boogiepop Phantom,2000,https://letterboxd.com/film/boogiepop-phantom/
Landscape in the Mist,1988,https://letterboxd.com/film/landscape-in-the-mist/
Wolf Children,2012,https://letterboxd.com/film/wolf-children/
Hero,2002,https://letterboxd.com/film/hero-2002/
The Servant,1963,https://letterboxd.com/film/the-servant/
"Oh, Hi!",2025,https://letterboxd.com/film/oh-hi/
Urban Cowboy,1980,https://letterboxd.com/film/urban-cowboy/
Breaking Away,1979,https://letterboxd.com/film/breaking-away/
Déjà Vu,2006,https://letterboxd.com/film/deja-vu/
Rush,2013,https://letterboxd.com/film/rush-2013/
Nobody Knows,2004,https://letterboxd.com/film/nobody-knows/
The Man Without a Past,2002,https://letterboxd.com/film/the-man-without-a-past/
Biutiful,2010,https://letterboxd.com/film/biutiful/
21 Grams,2003,https://letterboxd.com/film/21-grams/
The Loved Ones,2009,https://letterboxd.com/film/the-loved-ones/
The Manchurian Candidate,2004,https://letterboxd.com/film/the-manchurian-candidate-2004/
The Trout,1982,https://letterboxd.com/film/the-trout-1982/
Who?,1974,https://letterboxd.com/film/who/
Getting Straight,1970,https://letterboxd.com/film/getting-straight/
The Silent Partner,1978,https://letterboxd.com/film/the-silent-partner/
Bound by Honor,1993,https://letterboxd.com/film/bound-by-honor/
79 Springs,1969,https://letterboxd.com/film/79-springs/
Jackass Number Two,2006,https://letterboxd.com/film/jackass-number-two/
Fireworks,1997,https://letterboxd.com/film/fireworks-1997/
Plainclothes,2025,https://letterboxd.com/film/plainclothes/
The Long Day Closes,1992,https://letterboxd.com/film/the-long-day-closes/
Magic Farm,2025,https://letterboxd.com/film/magic-farm/
The Mother and the Whore,1973,https://letterboxd.com/film/the-mother-and-the-whore/
The Delta,1996,https://letterboxd.com/film/the-delta/
Sansho the Bailiff,1954,https://letterboxd.com/film/sansho-the-bailiff/
To the Ends of the Earth,2019,https://letterboxd.com/film/to-the-ends-of-the-earth-2019/
Insiang,1976,https://letterboxd.com/film/insiang/
"This Is Not a Burial, It's a Resurrection",2019,https://letterboxd.com/film/this-is-not-a-burial-its-a-resurrection/
Dog Star Man,1965,https://letterboxd.com/film/dog-star-man/
Linda Linda Linda,2005,https://letterboxd.com/film/linda-linda-linda/
April,2024,https://letterboxd.com/film/april-2024-1/
Jerry Maguire,1996,https://letterboxd.com/film/jerry-maguire/
The People vs. Larry Flynt,1996,https://letterboxd.com/film/the-people-vs-larry-flynt/
The Bridges of Madison County,1995,https://letterboxd.com/film/the-bridges-of-madison-county/
Out of the Blue,1980,https://letterboxd.com/film/out-of-the-blue/
"To Wong Foo, Thanks for Everything! Julie Newmar",1995,https://letterboxd.com/film/to-wong-foo-thanks-for-everything-julie-newmar/
Written on the Wind,1956,https://letterboxd.com/film/written-on-the-wind/
A Chinese Odyssey Part One: Pandora's Box,1995,https://letterboxd.com/film/a-chinese-odyssey-part-one-pandoras-box/
Moving,1993,https://letterboxd.com/film/moving-1993/
The Children's Hour,1961,https://letterboxd.com/film/the-childrens-hour/
Titus,1999,https://letterboxd.com/film/titus/
Darling,1965,https://letterboxd.com/film/darling/
Marathon Man,1976,https://letterboxd.com/film/marathon-man/
Three Days of the Condor,1975,https://letterboxd.com/film/three-days-of-the-condor/
Skullduggery,1970,https://letterboxd.com/film/skullduggery-1970/
Project X,1987,https://letterboxd.com/film/project-x-1987/
Phenomena,1985,https://letterboxd.com/film/phenomena/
Moon Pilot,1962,https://letterboxd.com/film/moon-pilot/
Monkeybone,2001,https://letterboxd.com/film/monkeybone/
The Man Who Changed His Mind,1936,https://letterboxd.com/film/the-man-who-changed-his-mind/
Mad Max Beyond Thunderdome,1985,https://letterboxd.com/film/mad-max-beyond-thunderdome/
Hit the Deck,1955,https://letterboxd.com/film/hit-the-deck/
Frida,2002,https://letterboxd.com/film/frida/
The Fountain,2006,https://letterboxd.com/film/the-fountain/
Don Juan,1926,https://letterboxd.com/film/don-juan/
Crocodile Dundee in Los Angeles,2001,https://letterboxd.com/film/crocodile-dundee-in-los-angeles/
Cobra Woman,1944,https://letterboxd.com/film/cobra-woman/
The Cameraman,1928,https://letterboxd.com/film/the-cameraman/
Calcutta,1969,https://letterboxd.com/film/calcutta-1969/
Alakazam the Great!,1960,https://letterboxd.com/film/alakazam-the-great/
Shakma,1990,https://letterboxd.com/film/shakma/
The Barefoot Executive,1971,https://letterboxd.com/film/the-barefoot-executive/
Pippi Longstocking,1969,https://letterboxd.com/film/pippi-longstocking-1969/
Link,1986,https://letterboxd.com/film/link/
Crippled Avengers,1978,https://letterboxd.com/film/crippled-avengers/
The One-Armed Swordsman,1967,https://letterboxd.com/film/the-one-armed-swordsman/
Il Sorpasso,1962,https://letterboxd.com/film/il-sorpasso/
eXistenZ,1999,https://letterboxd.com/film/existenz/
Futureworld,1976,https://letterboxd.com/film/futureworld/
The Monkey King: Uproar in Heaven,1961,https://letterboxd.com/film/the-monkey-king-uproar-in-heaven/
Wild Japan: Snow Monkeys,2014,https://letterboxd.com/film/wild-japan-snow-monkeys-2014/
Princess Iron Fan,1941,https://letterboxd.com/film/princess-iron-fan/
Jane,2017,https://letterboxd.com/film/jane-2017-1/
The Feeling That the Time for Doing Something Has Passed,2023,https://letterboxd.com/film/the-feeling-that-the-time-for-doing-something-has-passed/
The White Meadows,2009,https://letterboxd.com/film/the-white-meadows/
Europa '51,1952,https://letterboxd.com/film/europa-51/
"Germany, Year Zero",1948,https://letterboxd.com/film/germany-year-zero/
Paisan,1946,https://letterboxd.com/film/paisan/
Stromboli,1950,https://letterboxd.com/film/stromboli/
Journey to Italy,1954,https://letterboxd.com/film/journey-to-italy/
Sealskins,1932,https://letterboxd.com/film/sealskins/
Bum Voyage,1934,https://letterboxd.com/film/bum-voyage/
Nature in the Wrong,1933,https://letterboxd.com/film/nature-in-the-wrong/
I Shot Jesse James,1949,https://letterboxd.com/film/i-shot-jesse-james/
The Cranes Are Flying,1957,https://letterboxd.com/film/the-cranes-are-flying/
Dogra Magra,1988,https://letterboxd.com/film/dogra-magra/
Leave Her to Heaven,1945,https://letterboxd.com/film/leave-her-to-heaven/
Ha Ha Ha,2010,https://letterboxd.com/film/ha-ha-ha-2010/
Torso,1973,https://letterboxd.com/film/torso/
Guys and Dolls,1955,https://letterboxd.com/film/guys-and-dolls/
Sleuth,1972,https://letterboxd.com/film/sleuth/
The Love Bug,1968,https://letterboxd.com/film/the-love-bug/
Eeb Allay Ooo!,2019,https://letterboxd.com/film/eeb-allay-ooo/
Any Which Way You Can,1980,https://letterboxd.com/film/any-which-way-you-can/
Doctor Dolittle,1998,https://letterboxd.com/film/doctor-dolittle-1998/
Dolittle,2020,https://letterboxd.com/film/dolittle/
Gorilla at Large,1954,https://letterboxd.com/film/gorilla-at-large/
Instinct,1999,https://letterboxd.com/film/instinct/
Flying Monkeys,2013,https://letterboxd.com/film/flying-monkeys/
The Monkey's Uncle,1965,https://letterboxd.com/film/the-monkeys-uncle/
Mad Monkey Kung Fu,1979,https://letterboxd.com/film/mad-monkey-kung-fu/
Summer of the Monkeys,1998,https://letterboxd.com/film/summer-of-the-monkeys/
Blood Monkey,2007,https://letterboxd.com/film/blood-monkey/
Baby's Day Out,1994,https://letterboxd.com/film/babys-day-out/
King Kong Lives,1986,https://letterboxd.com/film/king-kong-lives/
Ed,1996,https://letterboxd.com/film/ed/
Monkey in the Middle,2014,https://letterboxd.com/film/monkey-in-the-middle/
Space Chimps,2008,https://letterboxd.com/film/space-chimps/
Bedtime for Bonzo,1951,https://letterboxd.com/film/bedtime-for-bonzo/
Outbreak,1995,https://letterboxd.com/film/outbreak/
Mighty Joe Young,1998,https://letterboxd.com/film/mighty-joe-young-1998/
George of the Jungle,1997,https://letterboxd.com/film/george-of-the-jungle/
Tarzan the Ape Man,1932,https://letterboxd.com/film/tarzan-the-ape-man/
Born to Be Wild,1995,https://letterboxd.com/film/born-to-be-wild/
Monkey Shines,1988,https://letterboxd.com/film/monkey-shines/
King Kong Escapes,1967,https://letterboxd.com/film/king-kong-escapes/
Monkey Business,1952,https://letterboxd.com/film/monkey-business-1952/
Batman Returns,1992,https://letterboxd.com/film/batman-returns/
Congo,1995,https://letterboxd.com/film/congo/
Monkey Trouble,1994,https://letterboxd.com/film/monkey-trouble/
The Incredible Shrinking Man,1957,https://letterboxd.com/film/the-incredible-shrinking-man/
The Ape Man,1943,https://letterboxd.com/film/the-ape-man/
Murders in the Zoo,1933,https://letterboxd.com/film/murders-in-the-zoo/
A Boy Named Charlie Brown,1969,https://letterboxd.com/film/a-boy-named-charlie-brown/
Dial M for Murder,1954,https://letterboxd.com/film/dial-m-for-murder/
Morvern Callar,2002,https://letterboxd.com/film/morvern-callar/
Medeas,2013,https://letterboxd.com/film/medeas/
Monica,2022,https://letterboxd.com/film/monica/
Army of Shadows,1969,https://letterboxd.com/film/army-of-shadows/
Jenny Lamour,1947,https://letterboxd.com/film/jenny-lamour/
The Truth,1960,https://letterboxd.com/film/the-truth-1960/
Le Corbeau,1943,https://letterboxd.com/film/le-corbeau/
The Wages of Fear,1953,https://letterboxd.com/film/the-wages-of-fear/
45 Years,2015,https://letterboxd.com/film/45-years/
Summer with Monika,1953,https://letterboxd.com/film/summer-with-monika/
Sonatine,1993,https://letterboxd.com/film/sonatine/
Margaret,2011,https://letterboxd.com/film/margaret/
The Illusionist,2010,https://letterboxd.com/film/the-illusionist-2010/
Targets,1968,https://letterboxd.com/film/targets/
I ♥ Huckabees,2004,https://letterboxd.com/film/i-huckabees/
Elle,2016,https://letterboxd.com/film/elle/
The Piano Teacher,2001,https://letterboxd.com/film/the-piano-teacher/
Miracle in Milan,1951,https://letterboxd.com/film/miracle-in-milan/
Kamikaze Girls,2004,https://letterboxd.com/film/kamikaze-girls/
Drifting Clouds,1996,https://letterboxd.com/film/drifting-clouds-1996/
